severity,file,index,code,detail
INFO,"1chronicles_quiz.json",1,CORRECT_MUCH_LONGER,"correct=73 avg_others=19"
INFO,"1chronicles_quiz.json",2,CORRECT_MUCH_LONGER,"correct=81 avg_others=24"
INFO,"1chronicles_quiz.json",7,CORRECT_MUCH_LONGER,"correct=59 avg_others=22"
INFO,"1chronicles_quiz.json",9,CORRECT_MUCH_LONGER,"correct=62 avg_others=24"
INFO,"1chronicles_quiz.json",17,CORRECT_MUCH_LONGER,"correct=69 avg_others=26"
INFO,"1chronicles_quiz.json",18,CORRECT_MUCH_LONGER,"correct=83 avg_others=30"
INFO,"1chronicles_quiz.json",20,CORRECT_MUCH_LONGER,"correct=89 avg_others=34"
INFO,"1chronicles_quiz_en.json",1,CORRECT_MUCH_LONGER,"correct=87 avg_others=23"
INFO,"1chronicles_quiz_en.json",2,CORRECT_MUCH_LONGER,"correct=98 avg_others=34"
INFO,"1chronicles_quiz_en.json",9,CORRECT_MUCH_LONGER,"correct=61 avg_others=17"
INFO,"1chronicles_quiz_en.json",17,CORRECT_MUCH_LONGER,"correct=77 avg_others=24"
INFO,"1chronicles_quiz_en.json",18,CORRECT_MUCH_LONGER,"correct=98 avg_others=33"
INFO,"1corinthians_quiz.json",5,CORRECT_MUCH_LONGER,"correct=51 avg_others=14"
INFO,"1corinthians_quiz.json",12,CORRECT_MUCH_LONGER,"correct=42 avg_others=17"
INFO,"1corinthians_quiz.json",18,CORRECT_MUCH_LONGER,"correct=54 avg_others=20"
INFO,"1corinthians_quiz.json",23,CORRECT_MUCH_LONGER,"correct=61 avg_others=14"
INFO,"1corinthians_quiz.json",25,CORRECT_MUCH_LONGER,"correct=55 avg_others=8"
INFO,"1corinthians_quiz.json",27,CORRECT_MUCH_LONGER,"correct=36 avg_others=9"
INFO,"1corinthians_quiz.json",28,CORRECT_MUCH_LONGER,"correct=58 avg_others=14"
INFO,"1corinthians_quiz.json",29,CORRECT_MUCH_LONGER,"correct=52 avg_others=8"
INFO,"1corinthians_quiz.json",30,CORRECT_MUCH_LONGER,"correct=38 avg_others=9"
INFO,"1corinthians_quiz.json",65,CORRECT_MUCH_LONGER,"correct=174 avg_others=62"
INFO,"1corinthians_quiz.json",70,CORRECT_MUCH_LONGER,"correct=113 avg_others=35"
INFO,"1corinthians_quiz_en.json",5,CORRECT_MUCH_LONGER,"correct=50 avg_others=17"
INFO,"1corinthians_quiz_en.json",12,CORRECT_MUCH_LONGER,"correct=43 avg_others=15"
INFO,"1corinthians_quiz_en.json",15,CORRECT_MUCH_LONGER,"correct=56 avg_others=20"
